food,total,kids,age
18.6,70,2,36
38.1,90,2,37
31.8,70,2,33
47.8,80,2,30
37.7,110,2,45
24.1,100,1,36
49.2,120,2,38
36.4,90,2,43
26.5,60,2,29
44.5,100,2,45
24,80,1,22
90.5,180,2,36
43.4,110,2,36
39.4,90,2,27
18.6,50,1,28
30.1,100,2,37
44.7,120,2,34
45.5,150,2,32
26.1,80,2,33
37.4,100,2,39
30.2,80,2,32
50.6,120,2,30
9.9,60,2,38
30.7,100,1,20
32.7,80,1,29
32.3,80,2,35
26.4,90,1,54
27.6,90,2,35
33,90,2,31
20.2,60,2,37
36.1,100,1,49
24.2,80,1,27
36.5,90,1,39
37.5,170,2,36
31.7,90,2,53
31.7,100,2,35
26.6,70,2,35
68.3,150,2,31
31.2,60,1,43
28.1,70,2,24
24,100,1,34
31.1,130,1,26
16.6,70,1,32
25.7,80,1,43
24.4,80,1,31
24.1,60,2,26
25.4,70,2,29
48.9,150,2,30
34.9,180,1,44
43.3,120,2,37
26.7,70,2,37
25.7,70,1,23
35.2,70,2,28
13.7,80,2,43
18.8,150,1,24
36.3,90,1,54
15.2,70,2,28
32.9,130,2,32
38,120,2,36
58.4,110,2,37
24.5,50,1,42
18.1,50,1,23
25.3,60,1,31
30,90,2,39
43.4,90,2,44
30.5,110,1,25
51.8,110,2,36
25.7,90,2,32
24.6,100,1,38
18.9,40,1,26
32.5,170,1,26
50.5,100,2,32
23.4,120,2,43
17.2,70,1,28
17.6,60,2,23
24.9,60,2,34
19,30,1,24
30.6,80,2,28
14.9,40,1,24
28.5,120,1,40
23.5,90,1,31
53.8,260,2,25
16.2,50,1,26
47.3,120,2,32
48.3,90,1,34
59.3,120,2,34
26.3,60,1,38
20.3,60,1,45
46.1,100,2,39
40.8,200,2,33
35.2,110,2,36
40.5,100,2,35
30.8,130,2,35
30.3,130,1,24
34.8,80,1,42
35,120,2,34
14.2,40,2,31
34.8,130,1,32
33.7,70,1,45
38.6,90,1,42
30.6,60,2,32
23.3,70,2,32
40.4,80,2,23
64.7,190,1,50
23.2,110,1,23
30.9,100,2,42
38.9,90,1,58
17.8,50,1,28
44.5,80,2,38
31.1,60,2,40
17.6,60,2,34
36.7,100,2,29
21.3,80,2,38
37.2,70,1,27
22.7,40,1,48
35.8,100,1,31
30.4,80,2,31
39.8,100,2,44
50.6,150,2,26
31.7,160,1,45
26.8,90,2,22
36.9,100,2,31
41.9,120,2,23
35.3,100,1,26
47.9,130,1,34
30.8,70,1,48
35.7,110,2,37
24.8,100,2,41
16.4,80,1,25
49.7,140,2,38
16.1,120,1,40
28.4,80,2,31
38.5,100,1,27
25.9,100,1,24
39.9,80,2,38
25.9,90,1,29
25.8,130,2,40
19.8,50,2,32
41.2,80,2,37
36.6,130,1,36
29.8,70,2,34
15.6,60,1,43
46.5,140,2,35
18.7,70,2,33
12.3,70,1,37
14,60,2,30
26.2,70,2,28
30.9,90,2,44
33.4,100,2,33
25.9,70,1,38
30.6,160,2,31
37.1,110,2,39
17.9,90,1,25
34.8,90,2,35
20.3,70,1,38
16.1,70,2,36
12.7,70,1,43
37.8,70,1,57
26.1,50,2,30
19.8,50,1,27
28.7,70,2,36
38.6,160,1,27
20.6,80,1,27
31,140,2,30
50,150,2,38
22.9,60,1,43
22,60,2,25
20,80,1,38
22.8,170,2,35
16.6,50,1,24
46.7,90,2,32
27.5,130,1,33
47.6,110,1,45
32.9,70,1,23
27.9,120,1,21
30.8,100,1,24
25.8,130,2,27
21.7,50,2,40
18.9,70,2,32
24.1,120,2,32
36.2,90,2,44
14.7,60,2,31
35.1,100,2,43
52.3,90,2,28
57.5,130,2,29
40.3,100,2,52
39.3,180,2,36
26.8,110,2,35
40.8,140,1,48
29.5,50,2,35
23.6,90,2,39
24.3,60,2,36
36.5,90,2,37
24.8,80,2,34
26.8,70,2,27
30.1,90,2,35
11.4,50,1,24
44.4,90,2,35
19.1,60,2,27
32.3,80,1,36
24,50,1,36
22.5,80,1,32
35.2,80,2,32
23.1,60,2,34
59.8,170,2,34
62.9,190,2,26
58.8,250,2,49
28.5,100,1,35
53.1,90,2,44
36.3,80,1,26
41.3,170,2,38
25.1,190,2,33
51,120,2,44
27.9,90,1,28
44.4,130,2,37
36.6,120,2,32
63.4,230,1,49
40.7,110,2,45
22.7,70,1,36
33.2,80,2,37
28.9,70,2,34
32.6,80,2,34
23.7,100,2,41
23.2,40,2,27
29.6,90,1,29
23.2,50,1,48
19.5,100,1,47
39.6,100,2,40
22.2,100,1,36
37.8,110,2,39
24.2,100,2,33
41.8,250,2,28
21.1,40,2,35
27.7,160,2,37
45.1,150,2,49
67.9,140,2,38
29.2,70,2,27
39.9,100,2,43
19.5,60,1,20
30.7,70,1,47
25.4,70,2,22
20.4,50,2,49
41.2,120,1,34
24.2,60,2,32
44.7,140,1,38
41.5,280,1,45
32,160,1,23
33.1,100,1,29
23.7,100,1,29
24.2,160,2,38
41.2,100,1,25
25.5,90,2,29
31.6,80,1,28
29.3,70,2,22
31.3,90,1,51
25.9,60,1,28
29.5,60,2,28
75.7,150,1,35
36,130,1,56
42.5,160,2,36
31.3,150,2,29
9.8,50,1,29
32.1,70,2,47
38.4,160,1,28
33.2,170,1,29
23.9,110,1,45
16.8,60,1,27
36.8,80,2,43
16.1,60,1,28
31.4,110,1,36
28.3,100,2,42
35.2,200,1,36
29.6,160,2,28
36.7,90,2,39
29.9,80,2,33
27.2,110,2,37
28.9,80,1,25
25.6,50,2,38
59.2,200,2,49
51.4,140,1,33
38.7,140,2,34
29.3,100,2,40
32.3,90,2,31
30.4,90,2,29
22.2,140,2,41
45.3,120,2,44
69.1,120,2,35
40,80,2,28
32,110,1,35
27.8,110,2,36
56.7,150,2,41
19,70,1,27
31.1,100,1,27
39,170,2,49
34,130,2,34
28.8,90,2,35
26.7,90,2,30
54.2,110,2,36
54.3,180,2,38
15.7,60,2,34
49.7,150,2,34
12.1,60,2,28
16.7,70,2,36
59.3,90,2,34
32.8,80,1,45
47.1,120,2,34
33.6,90,2,46
44.9,160,1,41
35.2,90,2,28
64.8,110,2,32
72.7,140,1,52
31.2,70,2,36
16,90,1,34
44.4,150,1,50
39.2,70,2,40
29.1,100,1,34
15,100,1,39
26.5,80,2,35
38.5,90,2,44
40.6,130,2,36
41.7,120,2,35
44.9,170,1,33
28.2,90,2,31
23.1,90,1,30
34.1,210,1,27
43.9,90,2,41
26,130,2,36
30.5,150,2,44
44,130,2,31
39.3,140,2,41
26.7,60,2,37
30.9,80,2,40
29.6,90,2,37
21.9,100,2,33
44.3,110,1,36
39.1,120,2,50
31.3,130,2,36
22.1,120,1,34
33.2,180,2,29
45.3,120,2,47
24.6,40,2,41
27.2,90,1,37
27.1,60,1,25
45.7,110,2,46
29.9,100,1,60
28.3,80,2,34
43.1,200,2,35
38.3,80,2,42
50.5,160,1,31
55.6,140,2,45
24.1,60,1,25
46.8,110,2,35
21.4,70,1,37
35.1,100,2,39
49.7,130,2,33
37.7,100,2,42
36.5,100,2,30
43.2,100,2,28
28.5,60,1,41
40.7,100,2,33
25.5,50,2,25
37.7,90,2,43
36.5,110,2,33
19.1,60,2,28
25.8,90,1,45
29.9,100,1,34
29.1,80,1,33
31.2,60,1,51
33.3,80,2,39
35.2,120,2,43
59.9,140,2,40
35,190,2,43
23.1,70,2,32
27.8,60,1,29
50.5,140,2,37
22.5,60,1,31
45.1,140,2,37
19.5,50,1,28
30.6,70,2,26
26,60,2,37
12.6,30,1,49
29,240,2,51
12.5,140,2,29
29.7,70,2,33
32.2,70,2,44
32.4,70,1,26
17.7,40,1,23
41.9,100,2,42
30.8,100,1,43
28.2,100,2,38
46.5,140,1,26
31.5,60,1,28
16.1,70,1,29
25.7,80,1,33
21.3,70,1,28
24.1,50,2,40
22.7,100,1,27
30,120,1,42
31.6,160,2,28
31.4,90,2,33
29.1,120,1,42
28.8,70,1,30
23.7,70,1,33
20.2,60,2,32
13.3,60,1,31
29.4,80,1,32
48.2,170,2,44
23.7,110,2,36
25.9,60,2,31
85.3,150,2,29
13.7,40,2,31
21,50,1,29
26.8,190,1,26
23,70,2,24
30.6,70,2,39
19.9,80,2,23
31,90,1,38
35.9,120,1,30
40.9,120,2,33
22.4,80,2,34
39.6,80,2,36
51,130,1,52
25.9,60,2,27
50.3,390,1,35
55.4,160,1,46
33.1,70,2,39
17,120,2,50
53.2,140,2,38
38,90,1,49
58,190,1,45
36.7,110,2,24
41.8,110,2,40
23.4,60,1,32
39.5,140,2,51
146.5,330,2,55
21.4,70,1,39
34.5,110,1,28
22.2,40,2,34
20.3,40,1,35
58.4,190,1,38
29.9,60,2,41
35.2,60,1,60
39.8,150,2,43
27.9,70,2,32
27.9,80,2,33
27.2,60,2,29
41.5,90,2,59
23.5,70,1,23
22.5,110,1,38
54.4,150,2,29
40,120,1,43
40.6,90,2,39
39.4,140,1,39
22.6,90,1,28
27.2,90,2,41
19.7,40,1,30
26.5,130,2,32
26.5,60,2,55
34,130,2,32
46,70,2,36
33.8,90,1,44
72.8,290,2,36
15.4,140,2,29
25.6,90,1,22
61.3,150,2,42
19.3,80,1,30
37.2,110,2,37
46.3,80,2,39
32.7,70,2,42
63.8,190,1,56
10.4,80,2,33
27.9,90,1,36
34.5,80,2,31
32.6,110,2,39
34.9,90,1,36
30.9,100,1,49
37.6,120,2,32
67.3,140,2,33
28.6,90,2,41
47.3,80,2,38
21.4,100,1,24
31.1,60,1,26
29,100,2,33
59,190,2,36
27.1,60,2,38
47.1,210,2,37
43.8,150,1,36
21.7,40,2,25
48.5,110,2,48
22.7,90,1,24
35.3,130,1,46
19.2,80,1,29
26.6,60,2,34
49.5,80,1,42
39.6,100,2,28
56.2,140,2,36
24.7,80,2,39
29.9,80,1,36
18,70,2,30
27,70,1,27
24.5,100,1,24
29.5,80,1,45
46.7,130,2,38
58.4,130,2,36
28.4,120,1,37
48.4,170,1,51
24.3,90,2,39
62,140,1,32
45.4,130,1,25
50.5,170,2,41
22.2,60,1,27
20.3,60,2,33
60.2,170,2,36
32.6,120,2,49
20.3,70,2,38
23.5,70,1,28
26.9,70,2,46
14,50,2,35
26.2,110,2,33
44,80,2,38
33.6,70,2,31
65.4,250,2,35
27.2,70,1,45
37.1,80,2,27
46.9,110,1,23
14.5,40,1,37
37.6,100,2,30
24.2,100,2,36
33.2,60,2,43
72.4,170,2,40
58.4,170,2,35
21.1,80,1,50
20,110,2,48
45.3,110,1,51
31.8,70,1,27
61.9,270,1,49
69.9,240,2,33
17.6,70,1,35
43.6,110,2,42
12,60,2,37
31.1,70,2,29
21.7,80,2,42
64.4,190,2,39
28.7,160,2,43
26.8,90,1,27
25.2,100,2,42
45.2,80,2,37
43.3,180,1,42
38.2,100,2,46
33.2,110,1,45
14.9,60,1,30
30.6,80,2,28
31.4,80,2,40
33.3,60,2,33
18,80,2,31
22.8,90,1,23
16.4,70,2,30
54.8,100,1,38
38.7,190,1,45
18.3,50,2,47
27.7,60,1,50
31.2,80,2,36
33.9,90,2,39
48.9,110,2,26
27.7,80,1,28
31.8,130,1,41
41.2,110,2,51
39.3,130,2,28
39.6,150,2,34
28.1,80,1,32
32,70,1,25
29.5,80,2,31
34.6,100,2,32
41.7,80,2,33
47.5,120,2,42
27.9,70,2,36
37.1,160,2,32
38.9,130,2,45
18.9,70,1,23
32.5,80,1,26
28.8,170,2,42
26.9,100,1,45
38.7,160,1,37
17.7,110,2,35
65.9,120,2,58
41.6,110,2,43
90.3,260,2,33
56.4,180,2,26
58.7,150,2,26
66.1,190,2,42
33.5,110,2,29
30.3,50,1,23
29.4,70,2,33
29.1,60,1,23
26.5,80,1,46
28.8,110,2,35
23.3,60,1,26
30.7,130,1,45
35.7,60,1,36
27.8,100,2,37
21.2,40,2,27
26,80,2,37
38.9,100,2,42
32.5,70,2,35
29.3,110,1,32
30.3,90,2,37
17.7,90,1,33
28.2,50,1,37
18.5,70,1,36
13.6,40,1,37
32.4,90,1,31
19.4,50,1,27
29.5,150,1,51
17.2,60,2,31
41.7,110,2,37
38.3,130,1,35
38.1,120,2,33
38.7,100,1,36
18.5,90,2,32
22.2,70,1,35
23.9,100,1,32
49.8,270,2,34
43.8,100,1,57
42.6,150,2,50
32.6,70,1,41
52.2,110,2,48
30.1,80,2,32
24.6,60,2,24
32.9,70,1,29
32,70,2,35
62.5,150,2,37
34.9,110,2,30
29.3,60,2,33
35.3,90,2,41
47.5,160,2,39
29.9,80,2,44
28.2,120,2,45
30.8,60,1,20
23,120,2,36
13.3,70,2,40
29.1,200,2,33
25.6,60,2,29
29.7,60,1,27
24.8,50,1,39
34,80,1,33
32.7,90,2,38
24,60,2,32
45,210,1,35
19.3,90,2,26
38.2,190,2,37
32.7,110,2,38
27.3,320,2,33
30.3,100,1,36
41.5,100,2,39
30.4,90,1,55
27.2,80,1,29
33.6,70,2,31
28.7,90,1,43
57.3,140,2,44
22.5,60,2,31
39.3,120,1,23
39.8,80,1,40
33.5,110,2,44
43.8,100,2,38
29,100,1,52
36.5,90,2,33
24.3,70,1,29
33.2,140,2,36
40.4,180,2,31
71.6,160,2,43
24.9,70,1,43
61.6,240,1,45
20.5,90,2,33
37.7,110,1,34
56.8,160,2,33
27.2,100,2,37
39.1,100,2,39
34.8,80,2,25
24.2,90,2,40
39.3,200,2,55
20.1,80,2,32
38.4,90,2,40
37.4,120,1,46
35.4,90,1,31
23.3,110,1,31
60.1,140,1,41
20.5,60,2,32
52.4,220,2,31
66.2,160,2,39
34.5,70,2,35
30.2,50,2,31
28,80,2,34
44.7,130,2,40
23.5,90,2,33
20.6,90,1,46
29.7,90,2,35
30.1,110,2,41
7.5,40,1,26
27.1,60,2,27
54.1,120,2,40
24,120,1,34
16,90,1,34
26.2,80,1,60
24.3,60,1,19
30.3,60,2,30
20.6,70,2,29
33,120,1,42
21.1,70,1,32
38.4,100,2,25
30.8,100,2,39
33.6,70,2,37
36.4,80,2,37
19.7,80,2,37
37.7,90,1,42
29.1,80,2,31
35.9,130,1,40
39.6,130,1,40
21.9,50,2,25
25.3,70,1,29
37.5,120,2,32
18.3,100,1,40
16.8,60,2,32
24.3,60,1,43
31.1,130,2,37
39.5,90,1,48
27.3,90,2,35
7.8,50,1,41
50.7,210,2,36
23.1,50,2,27
26.2,70,2,35
41,90,2,35
35,150,2,32
53.9,210,1,53
23.8,70,2,26
22.2,50,2,42
15.5,40,2,32
45,130,2,34
19.5,50,2,34
51.9,110,2,46
35.8,140,2,40
58.3,110,2,39
73.6,190,2,47
26,160,1,26
46.7,140,2,42
15.4,270,1,34
21.1,50,1,31
24.3,60,2,37
25.4,100,1,24
31.8,60,1,21
54.1,190,2,34
24.9,40,1,47
37,90,2,29
19.5,70,2,34
33,100,2,38
78.8,130,2,44
26.4,140,1,27
